run,seed,strategy,top_k,oracle_top10_overlap,affected_jobs_total,affected_job_minutes_total,affected_jobs_developer_window,affected_job_minutes_developer_window,p95_wait_seconds_developer_window,p99_wait_seconds_developer_window,minutes_avoided_total,percent_minutes_saved_total,minutes_avoided_developer_window,percent_minutes_saved_developer_window,affected_jobs_avoided_developer_window
10,20260630,count_x_pull_time,10,2,1991,1477.8668455633097,889,692.5891846770834,32.1155390304981,58.107288019110186,997.5574982845187,40.29844421477667,211.9154872374619,23.428899133147098,229
10,20260630,dev_weighted_count_x_pull_time,10,2,1991,1477.8668455633097,889,692.5891846770834,32.1155390304981,58.107288019110186,997.5574982845187,40.29844421477667,211.9154872374619,23.428899133147098,229
10,20260630,model_exposure_dev,10,5,2009,1384.758412117939,741,512.3160758189075,0.0,55.011266600876475,1090.6659317298893,44.05975623696685,392.18859609563776,43.35948815670579,377
10,20260630,oracle_impact_upper_bound,10,10,2022,1538.6503447495818,587,395.7624095671374,0.0,44.3876473961237,936.7739990982466,37.842966254509484,508.74226234740786,56.24539907246297,531
11,20260631,count,10,0,1983,1623.9760650921564,980,801.5321098183132,36.6426583104185,68.7126399971308,783.2353987414638,32.537041739329254,135.1540943412806,14.428961774081266,196
11,20260631,dev_weighted_count,10,0,1992,1550.7454166730972,969,772.298161342306,31.244745852170077,68.7126399971308,856.466047160523,35.57917781749645,164.38804281728778,17.549958789537072,207
11,20260631,recent_count,10,0,1979,1568.9955329198601,1006,798.3928534080686,33.054417894646186,68.7126399971308,838.2159309137601,34.82103435893637,138.29335075152517,14.764106713368715,170
11,20260631,peak_concurrency,10,0,1985,1615.0692496213821,968,787.376528604736,33.054417894646186,68.7126399971308,792.1422142122381,32.9070472666621,149.3096755548578,15.940202267505395,208
11,20260631,hybrid_count_concurrency_a0.5,10,0,1983,1623.9760650921564,980,801.5321098183132,36.6426583104185,68.7126399971308,783.2353987414638,32.537041739329254,135.1540943412806,14.428961774081266,196
11,20260631,count_x_pull_time,10,2,1992,1450.1290338570543,935,700.6739772076223,31.244745852170077,61.298559521415086,957.0824299765659,39.75896776647774,236.01222695197146,25.19650934367337,241
11,20260631,dev_weighted_count_x_pull_time,10,2,1992,1450.1290338570543,935,700.6739772076223,31.244745852170077,61.298559521415086,957.0824299765659,39.75896776647774,236.01222695197146,25.19650934367337,241
11,20260631,model_exposure_dev,10,6,2000,1337.9286940072234,745,475.8137065334224,0.0,47.69141244543165,1069.2827698263968,44.41997663651467,460.87249762617137,49.202443206652305,431
11,20260631,oracle_impact_upper_bound,10,10,2016,1437.2234534096856,631,399.47236134159414,0.0,40.67423997159575,969.9880104239346,40.29508935950205,537.2138428179996,57.352594757173186,545
12,20260632,count,10,2,2004,1700.000850506909,888,762.4770676973684,37.94049982483824,66.2728709605425,879.387241338401,34.092862726573344,217.80765218637225,22.218815387860346,239
12,20260632,dev_weighted_count,10,1,1998,1716.1224363225083,922,803.72408615795,38.530517869859395,66.2728709605425,863.2656555228018,33.467846821965296,176.5606337257907,18.011158405767087,205
12,20260632,recent_count,10,1,1998,1718.7124346836647,909,795.7296505993592,37.94049982483824,66.2728709605425,860.6756571616454,33.367435473655796,184.5550692843815,18.82668020228544,218
12,20260632,peak_concurrency,10,2,2006,1754.6534353163686,880,775.468398612507,37.94049982483824,66.62655905774065,824.7346565289415,31.97404295756523,204.81632127123362,20.89355440483907,247
12,20260632,hybrid_count_concurrency_a0.5,10,2,2004,1700.000850506909,888,762.4770676973684,37.94049982483824,66.2728709605425,879.387241338401,34.092862726573344,217.80765218637225,22.218815387860346,239
12,20260632,count_x_pull_time,10,3,2002,1645.702075331025,874,732.3203263202605,37.13275133829282,63.37004549762366,933.686016514285,36.19796569062704,247.96439356348014,25.295140129582773,253
12,20260632,dev_weighted_count_x_pull_time,10,3,2002,1584.5711627145236,893,721.626521274247,37.94049982483824,63.37004549762366,994.8169291307865,38.56794300461736,258.65819860949364,26.386027789984308,234
12,20260632,model_exposure_dev,10,7,2015,1520.9428004069987,646,472.2547591389454,0.0,50.80046501675694,1058.4452914383114,41.034743658178755,508.02996074479523,51.82473524682159,481
12,20260632,oracle_impact_upper_bound,10,10,2017,1522.263330303893,608,433.13027841881546,0.0,46.75377821048289,1057.124761541417,40.98354818662218,547.1544414649252,55.81586965160656,519
13,20260633,count,10,2,1999,1630.4930878299824,928,753.1708110789112,41.54745434088895,56.72668432348079,993.9994806382383,37.873968194102524,231.61204369077905,23.519097897469567,223
13,20260633,dev_weighted_count,10,1,2000,1648.411275273298,947,774.3403740229277,42.58373239820196,56.72668432348079,976.0812931949226,37.19123860063396,210.4424807467626,21.369429791299368,204
13,20260633,recent_count,10,1,1974,1589.6622840687915,983,805.3068940807008,44.04016229829797,56.72668432348079,1034.8302843994293,39.42972812467919,179.47596068898952,18.224927436512214,168
13,20260633,peak_concurrency,10,2,1999,1630.4930878299824,928,753.1708110789112,41.54745434088895,56.72668432348079,993.9994806382383,37.873968194102524,231.61204369077905,23.519097897469567,223
13,20260633,hybrid_count_concurrency_a0.5,10,2,1999,1630.4930878299824,928,753.1708110789112,41.54745434088895,56.72668432348079,993.9994806382383,37.873968194102524,231.61204369077905,23.519097897469567,223
13,20260633,count_x_pull_time,10,3,1999,1594.3714240260667,925,736.5028188572365,41.54745434088895,51.61086676295483,1030.121144442154,39.25029763156776,248.28003591245374,25.211652976078533,226
13,20260633,dev_weighted_count_x_pull_time,10,2,2000,1595.5172574326061,936,746.0946737692282,41.54745434088895,51.78396634262871,1028.9753110356146,39.20663839548129,238.68818100046212,24.23764587740348,215
13,20260633,model_exposure_dev,10,4,1982,1450.3141981829501,799,598.8988245306368,37.43035376117311,48.87723131453852,1174.1783702852706,44.73925300427035,385.88403023905346,39.18468202102275,352
13,20260633,oracle_impact_upper_bound,10,10,2024,1678.0970143204363,610,477.9486468866569,0.0,47.87157729259539,946.3955541477844,36.060134653006315,506.8342078830334,51.46659544571031,541
14,20260634,count,10,0,2001,1562.404575766253,891,708.0087963828015,32.104148628440925,53.20762641753562,682.2290164859933,30.393780920005327,144.55214557194245,16.95505135861779,230
14,20260634,dev_weighted_count,10,0,1996,1569.545703029678,914,726.2531302398614,34.78196760879508,53.20762641753562,675.0878892225683,30.07563869456265,126.30781171488252,14.815106521920312,207
14,20260634,recent_count,10,0,1995,1545.1710892587582,901,708.7514390138375,32.104148628440925,53.20762641753562,699.462502993488,31.161544824411777,143.80950294090644,16.867944080476093,220
